romset,opdb_id
elv303f,G4qbX-MJw5r
elv303g,G4qbX-MJw5r
elv303i,G4qbX-MJw5r
elv303l,G4qbX-MJw5r
elv400,G4qbX-MJw5r
elv400f,G4qbX-MJw5r
elv400g,G4qbX-MJw5r
elv400i,G4qbX-MJw5r
elv400l,G4qbX-MJw5r
elvis,G4qbX-MJw5r
elvisf,G4qbX-MJw5r
elvisg,G4qbX-MJw5r
elvisi,G4qbX-MJw5r
elvisl,G4qbX-MJw5r
embryon,G4qk7-MNEjx
embryona,G4qk7-MNEjx
embryonb,G4qk7-MNEjx
embryonc,G4qk7-MNEjx
embryond,G4qk7-MNEjx
embryone,G4qk7-MNEjx
erosone,G5LOx-MD1p8
esclwrld,G5oEz-MQ7Zw
esclwrlg,G5oEz-MQ7Zw
esha_l4c,GRw0r-Mp42p
esha_la1,GRw0r-Mp42p
esha_la3,GRw0r-Mp42p
esha_lg1,GRw0r-Mp42p
esha_lg2,GRw0r-Mp42p
esha_ma3,GRw0r-Mp42p
esha_pa1,GRw0r-Mp42p
esha_pa4,GRw0r-Mp42p
esha_pr4,GRw0r-Mp42p
evelknib,G59wx-MLnZ3
evelknic,G59wx-MLnZ3
evelknie,G59wx-MLnZ3
ewf,GR96Q-MNEnx
ewfa,GR96Q-MNEnx
ewff,GR96Q-MNEnx
excalbfp,GrPbb-MJZX6
excalffp,GrPbb-MJZX6
excalgfp,GrPbb-MJZX6
excaliba,GrPbb-MJZX6
excalibg,GrPbb-MJZX6
excalibr,GrPbb-MJZX6
f14_l1,GRY2O-MLWdy
f14_p3,GRY2O-MLWdy
f14_p4,GRY2O-MLWdy
f14_p5,GRY2O-MLWdy
famlyfun,GRoW6-MQk81
farfalla,GRVw2-M4oWO
farfallaa,GRVw2-M4oWO
farfallf,GRVw2-M4oWO
farfallfa,GRVw2-M4oWO
farfallg,GRVw2-M4oWO
farfallga,GRVw2-M4oWO
farfalli,GRVw2-M4oWO
farfallia,GRVw2-M4oWO
farfffp,GRVw2-M4oWO
farffp,GRVw2-M4oWO
farfgfp,GRVw2-M4oWO
farfifp,GRVw2-M4oWO
fathom,GrPO3-M9Rpx
fathoma,GrPO3-M9Rpx
fathomb,GrPO3-M9Rpx
fball_ia,Gry7q-MwNE2
fball_ii,Gry7q-MwNE2
fbclass,G48ZN-MLONl
fbclassa,G48ZN-MLONl
ffv101,GRKKk-MLxwP
ffv103,GRKKk-MLxwP
ffv104,GRKKk-MLxwP
fg_1000af,G5LW9-MQ6N5
fg_1000ag,G5LW9-MQ6N5
fg_1000ai,G5LW9-MQ6N5
fg_1000al,G5LW9-MQ6N5
fg_1100af,G5LW9-MQ6N5
fg_1100ag,G5LW9-MQ6N5
fg_1100ai,G5LW9-MQ6N5
fg_1100al,G5LW9-MQ6N5
fg_1200af,G5LW9-MQ6N5
fg_1200ag,G5LW9-MQ6N5
fg_1200ai,G5LW9-MQ6N5
fg_1200al,G5LW9-MQ6N5
fg_200a,G5LW9-MQ6N5
fg_300ai,G5LW9-MQ6N5
fg_400a,G5LW9-MQ6N5
fg_400ag,G5LW9-MQ6N5
fg_700af,G5LW9-MQ6N5
fg_700al,G5LW9-MQ6N5
fg_800al,G5LW9-MQ6N5
fh_905h,G5Dz7-Mq139
fh_906h,G5Dz7-Mq139
fh_907h,G5Dz7-Mq139
fh_d3,G5Dz7-Mq139
fh_d4,G5Dz7-Mq139
fh_d5,G5Dz7-Mq139
fh_d9,G5Dz7-Mq139
fh_d9b,G5Dz7-Mq139
fh_f91,G5Dz7-Mq139
fh_l2,G5Dz7-Mq139
fh_l3,G5Dz7-Mq139
fh_l4,G5Dz7-Mq139
fh_l5,G5Dz7-Mq139
fh_l9,G5Dz7-Mq139
fh_l9b,G5Dz7-Mq139
fh_pa1,G5Dz7-Mq139
fire_l2,G41Lo-MJp3y
fire_l3,G41Lo-MJp3y
firebird,G4xpN-MRjPo
firemntn,G4E9p-MDOrl
firemntnf,G4E9p-MDOrl
flash_l1,Grypn-MQdbe
flash_l1ff,Grypn-MQdbe
flash_l2,Grypn-MQdbe
flash_t1,Grypn-MQdbe
flash_t1ff,Grypn-MQdbe
flashgda,G5728-MDbjD
flashgdf,G5728-MDbjD
flashgdn,G5728-MDbjD
flashgdp,G5728-MDbjD
flashgdv,G5728-MDbjD
flashgfa,G5728-MDbjD
flashgp2,G5728-MDbjD
flashgva,G5728-MDbjD
flashgvf,G5728-MDbjD
flashgvffp,G5728-MDbjD
flicker,GrEOB-MJZYw
flight2k,G48kY-MDxRV
flight2m,G48kY-MDxRV
flight2mb,G48kY-MDxRV
flightfp,G48kY-MDxRV
foathens,G5LOx-MDlR2
forceii,G5Wpk-MDWpy
forceii7,G5Wpk-MDWpy
fourx4,G59VQ-MLBVl
foxylady,G48Ex-MDWNj
fpwr2_l2,GRWYk-Mb5OV
frankst,GRB7E-MP3rR
frankstg,GRB7E-MP3rR
franksti,GRB7E-MP3rR
freddy,GRzB7-MD8ld
freddy4,GRzB7-MD8ld
freedom,GR9qY-MD3Px
freedoma,GR9qY-MD3Px
freedomb,GR9qY-MD3Px
freefafp,G5W9p-MJw0B
freefall,G5W9p-MJw0B
frontiea,GRwjq-MJwrd
frontieg,GRwjq-MJwrd
frontier,GRwjq-MJwrd
frpwr_a6,G5VDd-MJpqO
frpwr_a7,G5VDd-MJpqO
frpwr_b6,G5VDd-MJpqO
frpwr_b7,G5VDd-MJpqO
frpwr_c6,G5VDd-MJpqO
frpwr_c7,G5VDd-MJpqO
frpwr_d6,G5VDd-MJpqO
frpwr_d7,G5VDd-MJpqO
frpwr_e7,G5VDd-MJpqO
frpwr_l2,G5VDd-MJpqO
frpwr_l2ff,G5VDd-MJpqO
frpwr_l6,G5VDd-MJpqO
frpwr_l6ff,G5VDd-MJpqO
frpwr_t6,G5VDd-MJpqO
frpwr_t6ff,G5VDd-MJpqO
fs_dx2,GRK95-MQ674
fs_dx4,GRK95-MQ674
fs_dx5,GRK95-MQ674
fs_la5,GRK95-MQ674
fs_lx2,GRK95-MQ674
fs_lx3,GRK95-MQ674
fs_lx4,GRK95-MQ674
fs_lx5,GRK95-MQ674
fs_sp2,GRK95-MQ674
fs_sp2d,GRK95-MQ674
ft_d5,G5Wxd-MLxl3
ft_d6,G5Wxd-MLxl3
ft_l3,G5Wxd-MLxl3
ft_l4,G5Wxd-MLxl3
ft_l5,G5Wxd-MLxl3
ft_l5p,G5Wxd-MLxl3
ft_p2,G5Wxd-MLxl3
ft_p4,G5Wxd-MLxl3
ft_p5,G5Wxd-MLxl3
futurspa,G5Dbo-M3dv6
futurspb,G5Dbo-M3dv6
futurwld,G5Kl7-MDxel
futurwldf,G5Kl7-MDxel
galaxy,GrdDB-ML8xK
galaxyb,GrdDB-ML8xK
galaxyc,GrdDB-ML8xK
galaxyfp,GrdDB-ML8xK
galaxyps,GrdDB-ML8xK
gamatron,GRo6e-MQPov
gamesnsm,GR9NZ-MJ97O
genesffp,Gr2wz-MLBob
genesgfp,Gr2wz-MLBob
genesifp,Gr2wz-MLBob
genesis,Gr2wz-MLBob
genesisf,Gr2wz-MLBob
genesisg,Gr2wz-MLBob
genie,GRBKZ-ML8Oe
gi_d3,GRBxQ-MnKX7
gi_d4,GRBxQ-MnKX7
gi_d6,GRBxQ-MnKX7
gi_d9,GRBxQ-MnKX7
gi_l3,GRBxQ-MnKX7
gi_l4,GRBxQ-MnKX7
gi_l6,GRBxQ-MnKX7
gi_l8,GRBxQ-MnKX7
gi_l9,GRBxQ-MnKX7
gladiatr,G4P9q-MLnOY
gldneye,G43wE-MQV5K
gldwgffp,G5WXd-MJrER
gldwggfp,G5WXd-MJrER
gldwingf,G5WXd-MJrER
gldwingg,G5WXd-MJrER
gnr_300,GrPKV-MyNoP
gnr_300d,GrPKV-MyNoP
gnr_300f,GrPKV-MyNoP
godz_090,G5po2-MeP6B
godz_100,G5po2-MeP6B
godzilla,G5po2-MeP6B
goinnuts,GnPPP-M7ZBR
goldbalb,Grjlx-MQkz3
goldbalc,Grjlx-MQkz3
goldball,Grjlx-MQkz3
goldbaln,Grjlx-MQkz3
goldcue,GRYzo-MP3p7
goldwgfp,G5WXd-MJrER
goldwing,G5WXd-MJrER
gpr301,G5YWX-MDxXX
gpr301f,G5YWX-MDxXX
gpr301g,G5YWX-MDxXX
gpr301i,G5YWX-MDxXX
gpr301l,G5YWX-MDxXX
gpr340,G5YWX-MDxXX
gpr340f,G5YWX-MDxXX
gpr340g,G5YWX-MDxXX
gpr340i,G5YWX-MDxXX
gpr340l,G5YWX-MDxXX
